num_visits,location,total_minutes_on_demo,user_age,demo_source,data_rows_input,operating_system,users_in_network,outreach_emails_sent,support_tickets_filed,converted
6,Denver,186.6174864,48,referral,7166,OSX,27,7,1,FALSE
5,Austin,108.2549299,41,email,11950,Other,22,5,0,TRUE
6,Phoenix,77.80532574,43,conference,9700,Windows,20,8,1,FALSE
6,Albany,126.4197922,50,email,11378,Windows,16,6,0,FALSE
5,Tulsa,192.5644094,56,email,3401,OSX,11,8,2,FALSE
8,Phoenix,112.1264724,43,website,9803,Windows,29,7,3,TRUE
7,Denver,167.0509828,41,email,11656,OSX,20,6,0,FALSE
8,Kansas City,137.4358925,36,conference,12375,Windows,34,7,1,FALSE
5,Freehold,157.0690169,47,conference,6797,Windows,23,4,1,FALSE
8,Memphis,179.2127581,45,email,6397,OSX,28,5,0,TRUE
8,Las Vegas,201.029685,44,website,8919,OSX,25,7,0,TRUE
7,Atlanta,163.5422624,45,conference,10272,Windows,24,6,0,FALSE
6,New York,144.8756599,50,website,6865,Windows,17,6,1,FALSE
6,Chicago,134.7358766,40,email,8662,Windows,19,6,0,FALSE
4,Denver,140.883456,48,email,3658,Windows,17,8,5,FALSE
8,Austin,192.8005278,48,conference,11990,OSX,25,7,0,TRUE
9,Boston,236.8396936,45,referral,7804,OSX,26,5,0,TRUE
6,Tulsa,129.3546113,51,conference,6442,Other,13,8,2,FALSE
6,Memphis,81.44361326,45,referral,10538,Windows,23,6,0,FALSE
10,Austin,90.05506777,38,email,12925,OSX,28,7,4,TRUE
9,Freehold,123.2817661,42,referral,5673,Other,31,6,2,TRUE
6,Albany,170.0440325,35,website,11436,Windows,24,7,0,FALSE
5,Las Vegas,179.4404773,37,email,14112,Other,31,6,3,FALSE
6,Phoenix,151.7974829,39,email,10630,Windows,20,8,0,FALSE
8,New York,127.6476767,48,conference,12725,Other,12,6,0,FALSE
5,Tulsa,190.2198874,59,referral,13305,Other,26,6,1,TRUE
4,Columbus,211.4589193,48,conference,6572,OSX,18,6,0,FALSE
8,San Diego,131.1830493,39,website,10807,Windows,23,6,0,FALSE
6,Memphis,154.7093323,44,email,8695,Windows,21,7,0,FALSE
9,Seattle,192.0211495,41,website,11809,OSX,24,6,0,TRUE
5,Albany,169.3182718,49,website,3790,Windows,14,5,3,FALSE
10,Memphis,105.2286293,34,website,7501,OSX,32,6,2,FALSE
5,Chicago,147.107289,41,email,10654,Windows,20,5,0,FALSE
6,Tulsa,162.283476,47,website,12561,OSX,15,7,5,TRUE
6,Columbus,178.6644656,50,email,8930,Other,16,6,0,FALSE
7,Denver,176.7038584,43,website,12802,OSX,25,6,1,FALSE
7,New York,145.396824,53,website,12079,OSX,21,5,1,TRUE
7,Seattle,130.6393756,49,email,10049,Windows,15,6,0,FALSE
